timestamp,epoch,train_mse,train_psnr,train_ssim,val_mse,val_psnr,val_ssim
2025-09-03 16:05:19,1,0.007763618201186711,21.102616012096405,0.7720273428342559,0.007814004039391875,21.07469868659973,0.7694698765873909
2025-09-03 16:05:31,2,0.0065982642713193354,21.8092557516965,0.8133301900869067,0.00663245499599725,21.78633713722229,0.8111710324883461
2025-09-03 16:05:44,3,0.007155706889038397,21.456054389476776,0.8063517612489787,0.007195747271180153,21.432243871688843,0.8039779022336007
2025-09-03 16:05:58,4,0.006437039172107523,21.915887079455636,0.8181775735521858,0.0064606810687109825,21.899715375900268,0.8159576505422592
2025-09-03 16:06:10,5,0.00597728901034729,22.238267746838655,0.8308104642412879,0.005999676557257772,22.222101831436156,0.8289822354912758
2025-09-03 16:06:24,6,0.007414353793137707,21.301712052388623,0.8182495509020307,0.007446361007168889,21.283258581161498,0.8160563603043556
2025-09-03 16:06:37,7,0.006843979494244029,21.64935657111081,0.8222760854458268,0.006841205758973956,21.65180163383484,0.8202043905854225
2025-09-03 16:06:49,8,0.005088224763643335,22.93725810809569,0.8428797752342441,0.005140915454830974,22.892701053619383,0.8408250495791435
2025-09-03 16:07:01,9,0.005592368193902075,22.52664061568,0.8424474574964155,0.005628535395953804,22.499422788619995,0.8401216045022011
2025-09-03 16:07:13,10,0.006018627739236267,22.207831382751465,0.8369947512718764,0.00606951565714553,22.17120842933655,0.8347623363137245
2025-09-03 16:07:26,11,0.013864796145670962,18.58329905163158,0.6548123330893841,0.013866951386444271,18.583047676086426,0.6530380189418793
2025-09-03 16:07:41,12,0.007111339254400015,21.483314649625257,0.8095814563672651,0.00716527554905042,21.450021934509277,0.8075558215379715
2025-09-03 16:07:53,13,0.005748226430362344,22.407348795370623,0.8368749948726459,0.005768283444922417,22.39205937385559,0.8347926497459411
2025-09-03 16:08:05,14,0.0058055642214392056,22.364041832360353,0.8445546825162389,0.005855470232199877,22.327085161209105,0.8424971088767051
2025-09-03 16:08:17,15,0.005806020820852031,22.366661283102903,0.8437860415063121,0.005898823402822018,22.29801411628723,0.8414171487092972
2025-09-03 16:08:30,16,0.00745333046043842,21.278584426099602,0.8364695513790305,0.007479216088540852,21.263522386550903,0.8342644810676575
2025-09-03 16:08:44,17,0.005317439043375833,22.74580643935637,0.8384948030791499,0.005361914751119912,22.70968246459961,0.8364353805780411
2025-09-03 16:08:56,18,0.00545440065483986,22.635573479262266,0.842269916087389,0.0054981924127787355,22.60125651359558,0.8403458058834076
2025-09-03 16:09:08,19,0.005100746742259203,22.927386419339612,0.8464218423786488,0.0051483573159202935,22.886862421035765,0.8444158107042312
2025-09-03 16:09:23,20,0.004932672875425355,23.072081061926756,0.8415356843986295,0.004959406063426286,23.04863123893738,0.8396848395466805
2025-09-03 16:09:34,21,0.009810017683776096,20.08509589325298,0.8114031395790252,0.00979167183395475,20.096255207061766,0.8095307350158691
2025-09-03 16:09:46,22,0.005388434758060612,22.68805413354527,0.836323804306713,0.00542277927743271,22.660732316970826,0.8341161295771599
2025-09-03 16:10:01,23,0.005479185413357548,22.615767869082365,0.8387188860638575,0.005533084878697992,22.57299919128418,0.8363688692450524
2025-09-03 16:10:13,24,0.006708887621326457,21.735949630087074,0.8194071504880082,0.006763514608610422,21.700577831268312,0.817149831354618
2025-09-03 16:10:26,25,0.005303383112980307,22.757071576335214,0.8466621781276031,0.005336730636190623,22.730227851867674,0.8445432037115097
2025-09-03 16:10:38,26,0.005919762754770504,22.279511971907183,0.8384657630866225,0.005961644148919731,22.248545551300047,0.8363625779747963
2025-09-03 16:10:50,27,0.006996102366511795,21.553482164036144,0.8318595176731999,0.00704857223900035,21.521703672409057,0.8297227501869202
2025-09-03 16:11:04,28,0.006558855225607244,21.83391149477525,0.8336151100017808,0.00656631599413231,21.83038535118103,0.8317336931824684
2025-09-03 16:11:16,29,0.004779325108922256,23.209556942636315,0.8472095949744637,0.004810178198385984,23.181595754623412,0.8451727747917175
2025-09-03 16:11:30,30,0.029163010296708144,15.353140262040226,0.6792051934383132,0.028982684947550297,15.381146311759949,0.6776864886283874
2025-09-03 16:11:42,31,0.0054171104209010746,22.665428096597847,0.8355974546548995,0.005456560174934566,22.634108543395996,0.8335970208048821
2025-09-03 16:11:54,32,0.005958315649133345,22.25138979066502,0.8186029673300006,0.006004820787347853,22.21788821220398,0.8161360964179039
2025-09-03 16:12:08,33,0.005123085773613473,22.90790629928762,0.8433737734502013,0.005161917500663549,22.875159549713135,0.8410044640302659
2025-09-03 16:12:20,34,0.006014330981997773,22.210698144002393,0.8294922777197578,0.0060810602735728025,22.162741136550903,0.8271988585591317
2025-09-03 16:12:32,35,0.006356246704606086,21.97024880214171,0.8239074368029833,0.006393108959309756,21.944734859466553,0.8217893451452255
2025-09-03 16:12:46,36,0.005230925373987041,22.817071871324018,0.8298674178394404,0.0052693475037813185,22.78523325920105,0.8276649653911591
2025-09-03 16:12:58,37,0.005773111038830724,22.38888854330236,0.8379712289368565,0.005823868385050446,22.350519275665285,0.8358051091432571
2025-09-03 16:13:12,38,0.005841022198596461,22.337681076743387,0.8310208491642367,0.005898230709135532,22.294886684417726,0.8285886898636818
2025-09-03 16:13:24,39,0.005367468725043264,22.70531192150983,0.8428215602920814,0.00541103258728981,22.6703134059906,0.8406333267688751
2025-09-03 16:13:36,40,0.0049914211439582605,23.020423650741577,0.8486908254298297,0.005012992024421692,23.003183937072755,0.8469446897506714
2025-09-03 16:13:50,41,0.008202021666379138,20.862359323284842,0.8076155351644213,0.008213495183736087,20.85665202140808,0.8056375399231911
